,date,items,ItemsPer1000
0,2014-01-01,424279.0,7.811221615491397
1,2014-02-01,456802.0,8.409988843189742
2,2014-03-01,481438.0,8.863551842346538
3,2014-04-01,400585.0,7.375001380793349
4,2014-05-01,369569.0,6.803978894113402
5,2014-06-01,327651.0,6.032244286277123
6,2014-07-01,313750.0,5.776318841753718
7,2014-08-01,224388.0,4.131112772154369
8,2014-09-01,293225.0,5.3984417286796305
9,2014-10-01,378844.0,6.974737004893532
10,2014-11-01,458264.0,8.436905108198967
11,2014-12-01,657374.0,12.102635290132298
12,2015-01-01,430361.0,7.855266736392127
13,2015-02-01,432360.0,7.891753960387907
14,2015-03-01,463419.0,8.458665761330844
15,2015-04-01,330201.0,6.027072461546044
16,2015-05-01,317582.0,5.796741156091943
17,2015-06-01,289325.0,5.280973528053546
18,2015-07-01,280162.0,5.113723686396051
19,2015-08-01,206385.0,3.7670914078884685
20,2015-09-01,266392.0,4.8623834790814495
21,2015-10-01,342649.0,6.254282548739375
22,2015-11-01,412314.0,7.525859567081551
23,2015-12-01,466469.0,8.514336613350418
24,2016-01-01,370107.0,6.696575420540963
25,2016-02-01,420490.0,7.608186277436713
26,2016-03-01,453285.0,8.201566545620349
27,2016-04-01,326450.0,5.906662251823384
28,2016-05-01,319234.0,5.776098689840975
29,2016-06-01,281976.0,5.10196659555874
30,2016-07-01,277800.0,5.026407638402623
31,2016-08-01,213131.0,3.8563113260633166
32,2016-09-01,247218.0,4.473068551298127
33,2016-10-01,329275.0,5.957776728347818
34,2016-11-01,424092.0,7.6733594967078655
35,2016-12-01,441639.0,7.990848246999626
36,2017-01-01,357208.0,6.422363419957785
37,2017-02-01,346202.0,6.224482824338271
38,2017-03-01,371067.0,6.671539067303854
39,2017-04-01,270397.0,4.861559096286547
40,2017-05-01,284958.0,5.123356239010129
41,2017-06-01,245069.0,4.406178419760012
42,2017-07-01,249224.0,4.480882569750842
43,2017-08-01,207030.0,3.7222623760774116
44,2017-09-01,248589.0,4.469465690029018
45,2017-10-01,319834.0,5.750403636141346
46,2017-11-01,389908.0,7.010287777286343
47,2017-12-01,408398.0,7.342725739580074
48,2018-01-01,361200.0,6.452627141050285
49,2018-02-01,335592.0,5.995155170319344
50,2018-03-01,347224.0,6.202954059867231
51,2018-04-01,268336.0,4.793665992582694
52,2018-05-01,277582.0,4.9588403850138985
53,2018-06-01,226470.0,4.045754342839585
54,2018-07-01,214584.0,3.8334178915701393
55,2018-08-01,178349.0,3.186100769599051
56,2018-09-01,216746.0,3.8720407594520627
57,2018-10-01,298714.0,5.336351228714548
58,2018-11-01,351276.0,6.275340674417442
59,2018-12-01,343742.0,6.140750162566188
60,2019-01-01,323403.0,5.745607333842628
61,2019-02-01,314921.0,5.594915344573347
62,2019-03-01,298928.0,5.310782241014799
63,2019-04-01,251705.0,4.4718140956171055
64,2019-05-01,228784.0,4.064597509193953
65,2019-06-01,203428.0,3.6141204896334855
66,2019-07-01,217147.0,3.857853500808357
67,2019-08-01,180499.0,3.2067617744772328
68,2019-09-01,212510.0,3.7754721338852666
69,2019-10-01,282582.0,5.020377707108214
70,2019-11-01,345301.0,6.134649208520617
71,2019-12-01,416175.0,7.3938031872368395
72,2020-01-01,295182.0,5.219840848806366
73,2020-02-01,296310.0,5.239787798408488
74,2020-03-01,272383.0,4.816675508399646
75,2020-04-01,175308.0,3.100053050397878
76,2020-05-01,133126.0,2.354129089301503
77,2020-06-01,128702.0,2.275897435897436
78,2020-07-01,129436.0,2.288877099911583
79,2020-08-01,125475.0,2.2188328912466844
80,2020-09-01,175181.0,3.0978072502210434
81,2020-10-01,165635.0,2.929000884173298
82,2020-11-01,158258.0,2.798549955791335
83,2020-12-01,164437.0,2.907816091954023
84,2021-01-01,139531.0,2.467985227216448
85,2021-02-01,126775.0,2.242360673831372
86,2021-03-01,161509.0,2.856725932319709
87,2021-04-01,161369.0,2.8542496515519207
88,2021-05-01,218793.0,3.8699492716196997
89,2021-06-01,262463.0,4.642371993972025
90,2021-07-01,250184.0,4.4251844829172
91,2021-08-01,189097.0,3.3446947453322107
92,2021-09-01,244726.0,4.328644908412987
93,2021-10-01,348657.0,6.1669473118203495
94,2021-11-01,334338.0,5.913676852434891
95,2021-12-01,320645.0,5.671478905625403
96,2022-01-01,217559.0,3.8471877822826888
97,2022-02-01,230555.0,4.077001545071385
98,2022-03-01,282906.0,5.002746412396022
99,2022-04-01,237334.0,4.19687746827426
100,2022-05-01,265320.0,4.691765738927109
101,2022-06-01,256019.0,4.527292223407129
102,2022-07-01,269884.0,4.772472880614368
103,2022-08-01,198544.0,3.51093749762379
104,2022-09-01,214243.0,3.788549552257503
105,2022-10-01,325239.0,5.7513387500486735
106,2022-11-01,415260.0,7.343218154480896
107,2022-12-01,637270.0,11.269114851673748
108,2023-01-01,358503.0,6.339560126272371
